text,label
I saw missalleaneous yesterday.,Spelling
This is specle example.,Spelling
He typed estemined in the message.,Spelling
She wrote freterly in her notebook.,Spelling
He typed recommedation in the message.,Spelling
He typed senet in the message.,Spelling
She wrote pampflyss in her notebook.,Spelling
She wrote dich in her notebook.,Spelling
She wrote loeg in her notebook.,Spelling
The word aprocimately is wrong.,Spelling
I saw every_thing yesterday.,Spelling
They said apparintly in class.,Spelling
They said affidavate in class.,Spelling
He typed currants in the message.,Spelling
He typed odern in the message.,Spelling
He typed subterianam in the message.,Spelling
This is wun example.,Spelling
She wrote open in her notebook.,Spelling
This is prosperious example.,Spelling
She wrote formelle in her notebook.,Spelling
The word undoubtadly is wrong.,Spelling
They said exnomic in class.,Spelling
The word undoubtlly is wrong.,Spelling
I saw affa_dava yesterday.,Spelling
They said daully in class.,Spelling
He typed pacfically in the message.,Spelling
This is engencies example.,Spelling
They said seige in class.,Spelling
This is unfortument example.,Spelling
She wrote drue in her notebook.,Spelling
The word verry is wrong.,Spelling
The word consistant is wrong.,Spelling
He typed ferternaly in the message.,Spelling
She wrote strenus in her notebook.,Spelling
The word there is wrong.,Spelling
He typed fimiliar in the message.,Spelling
He typed exskrse in the message.,Spelling
He typed suafix in the message.,Spelling
I saw gowed yesterday.,Spelling
The word circuss is wrong.,Spelling
I saw fitad yesterday.,Spelling
I saw sew yesterday.,Spelling
They said fowd in class.,Spelling
She wrote definely in her notebook.,Spelling
He typed hale in the message.,Spelling
The word desireous is wrong.,Spelling
They said espeacle in class.,Spelling
He typed every_day in the message.,Spelling
I saw indefinent yesterday.,Spelling
He typed form in the message.,Spelling
They said succesfully in class.,Spelling
The word miaged is wrong.,Spelling
This is definpet example.,Spelling
I saw sacrafice yesterday.,Spelling
This is Ensysastic example.,Spelling
This is accmpaning example.,Spelling
She wrote recommandations in her notebook.,Spelling
He typed attemeter in the message.,Spelling
She wrote ceese in her notebook.,Spelling
She wrote led in her notebook.,Spelling
He typed el in the message.,Spelling
He typed equalnomical in the message.,Spelling
The word aproximatly is wrong.,Spelling
I saw inconvence yesterday.,Spelling
She wrote toches in her notebook.,Spelling
This is scub example.,Spelling
I saw trond yesterday.,Spelling
She wrote altihoched in her notebook.,Spelling
I saw accessable yesterday.,Spelling
He typed brack in the message.,Spelling
This is beting example.,Spelling
This is amuabile example.,Spelling
He typed pollitition in the message.,Spelling
They said plane in class.,Spelling
The word recondations is wrong.,Spelling
She wrote pome in her notebook.,Spelling
He typed scifuly in the message.,Spelling
I saw adquire yesterday.,Spelling
I saw clark yesterday.,Spelling
This is prier example.,Spelling
I saw cristal yesterday.,Spelling
They said janer in class.,Spelling
He typed enjoyous in the message.,Spelling
They said thouroghly in class.,Spelling
This is tord example.,Spelling
This is tobugon example.,Spelling
They said apparient in class.,Spelling
This is bet example.,Spelling
I saw apporpreate yesterday.,Spelling
I saw recommandment yesterday.,Spelling
This is satisfactorlly example.,Spelling
The word choice is wrong.,Spelling
The word posseses is wrong.,Spelling
The word symatry is wrong.,Spelling
She wrote wes in her notebook.,Spelling
This is wirer example.,Spelling
This is bg example.,Spelling
The word everone is wrong.,Spelling
He typed unfortunet in the message.,Spelling
She wrote sranded in her notebook.,Spelling
They said transfred in class.,Spelling
He typed asabed in the message.,Spelling
