text,label
I goes to the store everyday.,Grammar
They was playing soccer last night.,Grammar
She have completed her homework.,Grammar
He don't know the answer.,Grammar
The sun rise in the east.,Grammar
I am eat pizza for lunch.,Grammar
The students studies for the exam.,Grammar
The car need to be repaired.,Grammar
She will goes to the party tonight.,Grammar
They watches the movie together.,Grammar
The flowers is blooming in spring.,Grammar
She think she can finish the project.,Grammar
The dogs barks at the mail carrier.,Grammar
The kids plays video games after school.,Grammar
The computer not working properly.,Grammar
He had sleep for ten hours.,Grammar
I walk to work every day last month.,Grammar
She will be write a book next year.,Grammar
The chef cook dinner for the guests.,Grammar
They plants a tree in the garden.,Grammar
I has been to Paris three times.,Grammar
The cat catch the mouse yesterday.,Grammar
The airplane fly over the city.,Grammar
He do his homework every evening.,Grammar
They was at the concert last night.,Grammar
The computer running slow today.,Grammar
She buy a new dress for the party.,Grammar
The birds sings in the morning.,Grammar
He will finish the race in an hour.,Grammar
She make a cake for her friend's birthday.,Grammar
The train leave at 6 PM.,Grammar
They was listening to music.,Grammar
The scientist perform experiments in the lab.,Grammar
The baby cry when it's hungry.,Grammar
The teacher teach the students in the classroom.,Grammar
I was work on the project all day.,Grammar
She has paint her room last week.,Grammar
The dog was chase the squirrel.,Grammar
The flowers was watered by the gardener.,Grammar
The car has been wash this morning.,Grammar
The manager gives a speech at the meeting.,Grammar
They takes a vacation every summer.,Grammar
He swims in the pool every day last summer.,Grammar
The athlete wins the gold medal in the race.,Grammar
She is dance at the party last night.,Grammar
The teacher was grading the papers all night.,Grammar
The children build a sandcastle on the beach.,Grammar
The company launch a new product next month.,Grammar
I have been study for the test for two weeks.,Grammar
The photographer take a picture of the sunset.,Grammar
The artist was draw a portrait of the model.,Grammar
He is read a book before going to bed.,Grammar
The player scores a goal during the match.,Grammar
The tourists visit the museum yesterday.,Grammar
The weather forecast say it will rain tomorrow.,Grammar
The farmer has plant the seeds in the field.,Grammar
She has been make dinner for the family.,Grammar
The students were study for their exams.,Grammar
The concert begins in an hour.,Grammar
The neighbors was moving out yesterday.,Grammar
The children has fun at the amusement park.,Grammar
The pilot was fly the plane during the storm.,Grammar
She has bake cookies for the bake sale.,Grammar
The waiter serve the food to the customers.,Grammar
The author has been write a new book.,Grammar
