text,label
I seperated the papers.,spelling
She is beautifull.,spelling
I does my homework at night.,grammar
Because I was late.,sentence_structure
Went to school yesterday I.,sentence_structure
I cannt believe it.,spelling
They is playing football.,grammar
I does my homework at night.,grammar
We completed the assignment on time.,no_error
She said I am coming,punctuation
He were late to class.,grammar
I recieved the message.,spelling
Where you are going?,sentence_structure
I went to the shop.,no_error
We completed the assignment on time.,no_error
This essay is good it has many points and examples,sentence_structure
Definately I will come.,spelling
He go to school everyday.,grammar
I went to the shop.,no_error
I cannt believe it.,spelling
She don't like coffee.,grammar
Hello how are you,punctuation
This paragraph is clear and structured.,no_error
I went to the shop.,no_error
I recieved the message.,spelling
He angry very.,sentence_structure
They is playing football.,grammar
I cannt believe it.,spelling
I cannt believe it.,spelling
Hello how are you,punctuation
She have a pen.,grammar
This paragraph is clear and structured.,no_error
I cannt believe it.,spelling
Because I was late.,sentence_structure
I went to the shop.,no_error
We completed the assignment on time.,no_error
This essay is good it has many points and examples,sentence_structure
They are playing football.,no_error
I does my homework at night.,grammar
I seperated the papers.,spelling
We learned grammar today it was fun,punctuation
They is playing football.,grammar
We completed the assignment on time.,no_error
She is beautifull.,spelling
This essay is good it has many points and examples,sentence_structure
She is reading a book.,no_error
I seperated the papers.,spelling
This paragraph is clear and structured.,no_error
She don't like coffee.,grammar
She is reading a book.,no_error
Went to school yesterday I.,sentence_structure
She said I am coming,punctuation
Its raining today,punctuation
She is reading a book.,no_error
She said I am coming,punctuation
I went to the shop.,no_error
She is reading a book.,no_error
He go to school everyday.,grammar
Its raining today,punctuation
This paragraph is clear and structured.,no_error
Hello how are you,punctuation
I went to the shop.,no_error
They is playing football.,grammar
I does my homework at night.,grammar
"I went to the shop, and bought apples",punctuation
I does my homework at night.,grammar
He go to school everyday.,grammar
I does my homework at night.,grammar
He angry very.,sentence_structure
I recieved the message.,spelling
She don't like coffee.,grammar
Definately I will come.,spelling
She said I am coming,punctuation
This essay is good it has many points and examples,sentence_structure
Because I was late.,sentence_structure
She have a pen.,grammar
Hello how are you,punctuation
I recieved the message.,spelling
He angry very.,sentence_structure
I cannt believe it.,spelling
She is beautifull.,spelling
Hello how are you,punctuation
Its raining today,punctuation
Definately I will come.,spelling
This essay is good it has many points and examples,sentence_structure
He go to school everyday.,grammar
I went to the shop.,no_error
I recieved the message.,spelling
She is beautifull.,spelling
Definately I will come.,spelling
This paragraph is clear and structured.,no_error
I went to the shop.,no_error
I recieved the message.,spelling
I does my homework at night.,grammar
I cannt believe it.,spelling
I went to the shop.,no_error
She is reading a book.,no_error
I seperated the papers.,spelling
Went to school yesterday I.,sentence_structure
We completed the assignment on time.,no_error
Definately I will come.,spelling
He go to school everyday.,grammar
I cannt believe it.,spelling
We learned grammar today it was fun,punctuation
They is playing football.,grammar
She have a pen.,grammar
"I went to the shop, and bought apples",punctuation
Where you are going?,sentence_structure
Where you are going?,sentence_structure
I cannt believe it.,spelling
He go to school everyday.,grammar
Definately I will come.,spelling
He angry very.,sentence_structure
Its raining today,punctuation
I went to the shop.,no_error
Went to school yesterday I.,sentence_structure
He angry very.,sentence_structure
He go to school everyday.,grammar
She don't like coffee.,grammar
She is reading a book.,no_error
We completed the assignment on time.,no_error
This paragraph is clear and structured.,no_error
Went to school yesterday I.,sentence_structure
He were late to class.,grammar
I does my homework at night.,grammar
He angry very.,sentence_structure
Went to school yesterday I.,sentence_structure
He go to school everyday.,grammar
He go to school everyday.,grammar
They are playing football.,no_error
We completed the assignment on time.,no_error
He angry very.,sentence_structure
He angry very.,sentence_structure
I recieved the message.,spelling
I does my homework at night.,grammar
"I went to the shop, and bought apples",punctuation
